Environmental package	Structured comment name	Package item	Definition	Expected value	Value syntax	Example	Requirement	Preferred unit	Occurrence	MIXS ID	github ticket
human-gut	host_disease_stat	host disease status	List of diseases with which the host has been diagnosed; can include multiple diagnoses. The terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org.	disease name or Disease Ontology term	{termLabel} {[termID]}	measles [DOID:8622]	X		m	MIXS:0000031	
human-oral	host_disease_stat	host disease status	List of diseases with which the host has been diagnosed; can include multiple diagnoses. The terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org.	disease name or Disease Ontology term	{termLabel} {[termID]}	measles [DOID:8622]	X		m	MIXS:0000031	
human-skin	host_disease_stat	host disease status	List of diseases with which the host has been diagnosed; can include multiple diagnoses. The terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org.	disease name or Disease Ontology term	{termLabel} {[termID]}	measles [DOID:8622]	X		m	MIXS:0000031	
human-vaginal	host_disease_stat	host disease status	List of diseases with which the host has been diagnosed; can include multiple diagnoses. The terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org.	disease name or Disease Ontology term	{termLabel} {[termID]}	measles [DOID:8622]	X		m	MIXS:0000031	
plant-associated	host_disease_stat	host disease status	"List of diseases with which the host has been diagnosed; can include multiple diagnoses. The value of the field depends on host; for humans the terms should be chosen from the DO (Human Disease Ontology) at https://www.disease-ontology.org, non-human host diseases are free text."	disease name or Disease Ontology term	{text}|{termLabel} {[termID]}	downy mildew	X		m	MIXS:0000031	
agriculture	trophic_level	trophic level	Trophic levels are the feeding position in a food chain. Microbes can be a range of producers (e.g. chemolithotroph)	enumeration	[autotroph| carboxydotroph| chemoautotroph| chemoheterotroph| chemolithoautotroph| chemolithotroph| chemoorganoheterotroph| chemoorganotroph| chemosynthetic| chemotroph| copiotroph| diazotroph| facultative| autotroph| heterotroph| lithoautotroph| lithoheterotroph| lithotroph| methanotroph| methylotroph| mixotroph| obligate| chemoautolithotroph| oligotroph| organoheterotroph| organotroph| photoautotroph| photoheterotroph| photolithoautotroph| photolithotroph| photosynthetic| phototroph]		C		1	MIXS:0000032	
agriculture	nucl_acid_ext	nucleic acid extraction	"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample"	"PMID, DOI or URL"	{PMID|DOI|URL}		M		1	MIXS:0000037	
food-animal and animal feed	nucl_acid_ext	nucleic acid extraction	"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample."	"PMID, DOI or URL"	{PMID}|{DOI}|{URL}	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X		1	MIXS:0000037	
food-farm environment	nucl_acid_ext	nucleic acid extraction	"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample."	"PMID, DOI or URL"	{PMID}|{DOI}|{URL}	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X		1	MIXS:0000037	
food-food production facility	nucl_acid_ext	nucleic acid extraction	"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample."	"PMID, DOI or URL"	{PMID}|{DOI}|{URL}	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X		1	MIXS:0000037	
food-human foods	nucl_acid_ext	nucleic acid extraction	"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the material separation to recover the nucleic acid fraction from a sample."	"PMID, DOI or URL"	{PMID}|{DOI}|{URL}	https://mobio.com/media/wysiwyg/pdfs/protocols/12888.pdf	X		1	MIXS:0000037	
agriculture	nucl_acid_amp	nucleic acid amplification	"A link to a literature reference, electronic resource or a standard operating procedure (SOP), that describes the enzymatic amplification (PCR, TMA, NASBA) of specific nucleic acids"	reference to amplification method; clean-up method	{PMID|DOI|URL}		M		1	MIXS:0000038	
agriculture	lib_size	library size	Total number of clones in the library prepared for the project	number of clones	{integer}		X		1	MIXS:0000039	
agriculture	lib_reads_seqd	library reads sequenced	Total number of clones sequenced from the library	number of reads sequenced	{integer}		M		1	MIXS:0000040	
agriculture	lib_layout	library layout	"Specify whether to expect single, paired, or other configuration of reads"	enumeration	[paired|single|vector|other]	paired	C		1	MIXS:0000041	#231
agriculture	lib_vector	library vector	Cloning vector type(s) used in construction of libraries	vector	{text}		M		1	MIXS:0000042	
agriculture	lib_screen	library screening strategy	Specific enrichment or screening methods applied before and/or after creating libraries	screening strategy name	{text}	"enriched, screened, normalized"	M		1	MIXS:0000043	
agriculture	target_gene	target gene	Targeted gene or locus name for marker gene studies	gene name	{text}	"16S rRNA, 18S rRNA, nif, amoA, rpo"	M		1	MIXS:0000044	
agriculture	target_subfragment	target subfragment	Name of subfragment of a gene or locus. Important to e.g. identify special regions on marker genes like V6 on 16S rRNA	gene fragment name	{text}	"V6, V9, ITS"	M		1	MIXS:0000045	
agriculture	pcr_primers	pcr primers	"PCR primers that were used to amplify the sequence of the targeted gene, locus or subfragment. This field should contain all the primers used for a single PCR reaction if multiple forward or reverse primers are present in a single PCR reaction. The primer sequence should be reported in uppercase letters"	FWD:{dna} REV:{dna}		FWD: forward primer sequence REV:reverse primer sequence	M			MIXS:0000046	
agriculture	mid	multiplex identifiers	"Molecular barcodes, called Multiplex Identifiers (MIDs), that are used to specifically tag unique samples in a sequencing run. Sequence should be reported in uppercase letters"	multiplex identifier sequence	{dna}		M		1	MIXS:0000047	
agriculture	adapters	adapters	Adapters provide priming sequences for both amplification and sequencing of the sample-library fragments. Both adapters should be reported; in uppercase letters	adapter A and B sequence	"{dna},{dna}"		M		1	MIXS:0000048	
agriculture	pcr_cond	pcr conditions	Description of reaction conditions and components of PCR in the form of 'initial denaturation:94degC_1.5min; annealing=...'	initial denaturation:degrees_minutes; annealing:degrees_minutes; elongation: degrees_minutes; final elongation:degrees_minutes; total cycles	initial denaturation:degrees_minutes; annealing:degrees_minutes; elongation: degrees_minutes; final elongation:degrees_minutes; total cycles		M		1	MIXS:0000049	
agriculture	seq_meth	sequencing method	Sequencing machine used. Where possible the term should be taken from the OBI list of DNA sequencers (http://purl.obolibrary.org/obo/OBI_0400103).	Text or OBI	{termLabel} {[termID]}|{text}	454 Genome Sequencer FLX [OBI:0000702]	M			MIXS:0000050	
food-animal and animal feed	seq_meth	sequencing method	Sequencing machine used. Where possible the term should be taken from the OBI list of DNA sequencers (http://purl.obolibrary.org/obo/OBI_0400103).	Text or OBI	{termLabel} {[termID]}|{text}	454 Genome Sequencer FLX [OBI:0000702]	M		1	MIXS:0000050	
food-farm environment	seq_meth	sequencing method	Sequencing machine used. Where possible the term should be taken from the OBI list of DNA sequencers (http://purl.obolibrary.org/obo/OBI_0400103).	Text or OBI	{termLabel} {[termID]}|{text}	454 Genome Sequencer FLX [OBI:0000702]	M		1	MIXS:0000050	
food-food production facility	seq_meth	sequencing method	Sequencing machine used. Where possible the term should be taken from the OBI list of DNA sequencers (http://purl.obolibrary.org/obo/OBI_0400103).	Text or OBI	{termLabel} {[termID]}|{text}	454 Genome Sequencer FLX [OBI:0000702]	M		1	MIXS:0000050	
food-human foods	seq_meth	sequencing method	Sequencing machine used. Where possible the term should be taken from the OBI list of DNA sequencers (http://purl.obolibrary.org/obo/OBI_0400103).	Text or OBI	{termLabel} {[termID]}|{text}	454 Genome Sequencer FLX [OBI:0000702]	M		1	MIXS:0000050	
agriculture	seq_quality_check	sequence quality check	"Indicate if the sequence has been called by automatic systems (none) or undergone a manual editing procedure (e.g. by inspecting the raw data or chromatograms). Applied only for sequences that are not submitted to SRA,ENA or DRA"	none or manually edited	[none|manually edited]		X		1	MIXS:0000051	
agriculture	chimera_check	chimera check	"Tool(s) used for chimera checking, including version number and parameters, to discover and remove chimeric sequences. A chimeric sequence is comprised of two or more phylogenetically distinct parent sequences."	name and version of software	{text} {text}		M		1	MIXS:0000052	
